Stars & Stripes National #1,,
4 Balance Bike    Total Riders = 9    Groups = 2,,
,S,"MAVERICK MURPHY, CROWNSVILLE, MD"
,8,"KENJI (SUPER K) GOTO, DADDY, TAMPA, FL"
,,
9-10 Mixed Open    Total Riders = 10    Groups = 2,,
,1,"ADDISON SPENCER, BOX, NEW HAVEN, IN"
,2,"HARPER (FIRE FOX) VESCUSO, FACTORY BOMBSHELL, CORRALES, NM"
,3,"RYAN (RJ) KACZMAREK, PARENTS, ANGOLA, NY"
,4,"WYATT GAMBLIN, TEAM BELIEVE, WOOD RIVER, IL"
,5,"NATHAN SHEAR, BFR/BELLFLOWER BICYCLES, PALOS VERDES ESTATES, CA"
,6,"TANNER (DYNAMITE) ALTER , REGGIE'S BIKE SHOP, MONROE, MI"
,7,"CRUZ (CRUZZZER) HANSBERGER, CRANKSTERS, HAGERSTOWN, MD"
,8,"DEXTER SCHUMAKER, CARY, NC"
,,
11-12 Mixed Open    Total Riders = 12    Groups = 2,,
,1,"KATY CYRUS, REDMAN BIKES, WINCHESTER, CA"
,2,"KATE (COACH) CLARRIDGE, RIVAL RACING, MARYSVILLE, OH"
,3,"TRACE (T-RACE) CREEL, ANOTHER BAD HABIT/NAPLES, NAPLES, FL"
,4,"LACY (LASER) PABEN, REGGIE'S BIKE SHOP, TEMPERANCE, MI"
,5,"REAGAN RICE, RIVAL RACING, PLAINFIELD, IN"
,6,"COOPER AYLING, ROLL OUT RACING, MECHANICSVILLE, MD"
,7,"RYLEIGH (ROO) SCHRADER, POSITIVE IMPACT RACING, LEONARDTOWN, MD"
,8,"CHELSEA (THE HAMMER) WILSON, TRUE BMX, ROCK HILL, SC"
,,
13-14 Mixed Open    Total Riders = 10    Groups = 2,,
,1,"MICKIE (THE BULLET) JOSEPH, CLIFTON, CO"
,2,"HANNAH (HAVOC) GISH, AIRBORNE BMX, VALPARAISO, IN"
,3,"KAMRYN SWAN, REGGIE'S BIKE SHOP, TOLEDO, OH"
,4,"SAGAN (BOP) WILSON, INDIAN CYCLE AND FITNESS, FLORENCE, MS"
,5,"ASHTON HEVNER, LAUREL, DE"
,6,"KAYLA (ZOOM ZOOM) WERNER, PHAT DADDY RACING, LEWES, DE"
,7,"NOAH (NOAH NINJA) ALBRIGHT, SEVERN, MD"
,8,"ANTHONY (BOO-CHEE) BUCCI, GATE NINE, LONGWOOD, FL"
,,
15-16 Mixed Open    Total Riders = 3    Groups = 1,,
,1,"GABRELLE (GABBY ROSS) ROSS, COLUMBUS, OH"
,2,"AUSTIN MONREAL, BMX4LIFE, LAND O LAKES, FL"
,3,"RJ MONREAL, BMX4LIFE, LAND O LAKES, FL"
,,
31 & Over Mixed Open    Total Riders = 8    Groups = 1,,
,1,"JACOB SLAZINSKI, TRIFECTA BMX TEAM, PITTSBURGH, PA"
,2,"HOLGER  (HOOLRIVER) RIVERA, HOOLRIVER, BRIDGEPORT, CT"
,3,"GARRET (THE STIG) DONOVAN, RENEGADE BMX, FINLEYVILLE, PA"
,4,"TYLER MONESMITH, AKRON, IN"
,5,"JEFFREY (RABBIT) ORLANDI, STANDARD NORTHEAST, CHICOPEE, MA"
,6,"JAMES (EL LOCO) TRIPP, WRENCHMAN/BLACKCROWN, RALEIGH, NC"
,7,"SCOTT HEVNER, LAUREL, DE"
,,
6 & Under Open    Total Riders = 4    Groups = 1,,
,1,"GREYSON (RACINGREYSON) CARR, DAYLIGHT CYCLES, AMELIA, OH"
,2,"BLAKE (CASH MONEY COYNE) COYNE, WIKID RACING, WALTON HILLS, OH"
,3,"BRANTLEY SPYNDA, PITTSBURGH, PA"
,,
7-8 Open    Total Riders = 11    Groups = 2,,
,1,"PRESTON (THE ISSUE) GEORGE, PRESTON GEORGE RACING, WINSTON-SALEM, NC"
,2,"JACKSON  SCOGGINS, MOM AND DAD, MEMPHIS, TN"
,3,"KAILEN WOUTERS, SPROCKET KINGZ NATIONAL FACTORY, SAVANETA"
,4,"DOMINIC CAPUTO, LETHAL THREAT RACING, PASADENA, MD"
,5,"PARKER (MIGHTY MOUSE) GRAVES, SSQUARED NATIONAL TEAM , HOLLYWOOD, MD"
,6,"CONNOR (THE CONDOR) BECKLEY, ROCKSTAR/FULLTILT/RADIO, BRADENTON, FL"
,7,"TROY (FATBOY) GREENE, A.A.R.A, MIAMI GARDENS, FL"
,8,"LOGAN (THE CAPTAIN) LEMMERS, BENT RIM RACING, PLATO, MN"
,,
9-10 Open    Total Riders = 10    Groups = 2,,
,1,"MAX (MAD MAX) MEINEL, TNT BICYCLES NATIONAL TEAM, MONROE, CT"
,2,"RILEY RECORDS, SHORT LANE ICE CREAM CO., WEST POINT, VA"
,3,"RAUL CARDOZO, CLAIRTON, PA"
,4,"DOMINICK DUNN, NOMADS BMX, MEBANE, NC"
,5,"CALEB MOLYNEAUX, SUPER DUPER, PITTSBURGH, PA"
,6,"ANDRES (LIL MACHINE) ANDRADE, FACTORY BOMBSHELL, MIAMI, FL"
,7,"CHASE PURCUPILE, SUPER DUPER, JEFFERSON HILLS, PA"
,8,"COLE NOLTE, SSQUARED NATIONAL, PEORIA, AZ"
,,
11-12 Open    Total Riders = 8    Groups = 1,,
,1,"CHRIS FELKER, FACTORY RIFT TANGENT, KNOXVILLE, TN"
,2,"MASON HAYES, MONGOOSE BICYCLES, DENVER, NC"
,3,"JASON (JASE) STERLINSKI, HYPER, BETHPAGE, TN"
,4,"CAVAN (CAVEMAN) MCHENRY, BMXSHOWBOATERS/BOMBSHELL, SAN DIEGO, CA"
,5,"MAXIMUS (MAX SPEED) MENTAL, FLORIDA SSQUARED, WESTON, FL"
,6,"CHASE MILLER, MAGIC BMX, WHITE LAKE, MI"
,7,"COOPER (BAM BAM) COLLINS, TRIFECTA RACING, WASHINGTON, PA"
,,
13-14 Open    Total Riders = 12    Groups = 2,,
,1,"RICHARD (RATTLESNAKE) PABEN, REGGIE'S BIKE SHOP, TEMPERANCE, MI"
,2,"RONAN (ROCKETMAN) MCHENRY, BMXSHOWBOATERS/BOMBSHELL, SAN DIEGO, CA"
,3,"JT (JT) VROLIJK, PLUM, PA"
,4,"OWEN GOLDEN, VELOCITY BIKE CO., CHARLESTOWN, RI"
,5,"NICK MAILLARD, LEVITTOWN, PA"
,6,"GAVIN (THE FUTURE) BRADLEY, FACTIMETOSHINEMONGOOSE, DAYTON, OH"
,7,"WESLEY HAMEL, SSQUARED, TERRYVILLE, CT"
,8,"PHILIP (PJ) RAMSEY, BLACK CROWN BIKE SHOP, PASADENA, MD"
,,
15-16 Open    Total Riders = 8    Groups = 1,,
,1,"RONNIE (THE ASSASSIN!) KIM, FACTORY BOX COMPONENTS, CORONA, CA"
,2,"ZACK DRINKARD, VELOCITY BIKE CO, MECHANICSVILLE, VA"
,3,"BRAD (B-RAD) HERSEY, CHIP-N-DALE, MARLBORO, NJ"
,4,"PRESTON ELLIOTT, VELOCITY BIKE COMPANY, NOKESVILLE, VA"
,5,"BRENNAN COULTON, WEST MILFORD, NJ"
,7,"GAVED FOSTER, DEEP DIRT RIDING GEAR, REIDSVILLE, NC"
,7,"TROY KERNAN, SUNMAN, IN"
,,
17-20 Open    Total Riders = 6    Groups = 1,,
,1,"LANDON SUTTON, A&E RACING, TROY, OH"
,2,"JAKE SCHAR, CSI BMX MINISTRIES, CANONSBURG, PA"
,3,"GARRETT FREEH, LAMBO'S BIKE SHOP, UNIONTOWN, OH"
,4,"RUSSELL (RJ) WALLER, TRUTH BMX, MANASSAS, VA"
,5,"JACOB CLAPP, FACTORY RACE INC., COLUMBUS, IN"
,,
26-30 Open    Total Riders = 3    Groups = 1,,
,1,"NATHAN HATHCOCK, FACTORY MANGLER, POPLAR GROVE, IL"
,2,"JUAN (POTRO) GOMEZ, (MYSELF), QUEENS, NY"
,3,"DREW MARKLE, COASTAL RACING, FUQUAY VARINA, NC"
,,
31 & Over Open    Total Riders = 5    Groups = 1,,
,1,"RON MARKARIAN, DUBLIN, OH"
,2,"MICHAEL RINCON, REGGIE'S BIKE SHOP, ADRIAN, MI"
,3,"CHAD CYGNAROWICZ, JEFFERSON HILLS, PA"
,4,"ERIC REID, CHAPEL HILL, NC"
,,
10 & Under Girls Cruiser    Total Riders = 11    Groups = 2,,
,1,"JENNAVECIA (JENNARATOR) KLEMZ, BLACK WIDOW BMX, BRAHAM, MN"
,2,"NINA AMICO, TNT BICYCLES NATIONAL TEAM, WEBSTER, NY"
,3,"DANICA APPENZELLER, BMX SHARKS, ALBUQUERQUE, NM"
,4,"ALEX  PASOWICZ, BLACKCROWN BMX FACTORY, LA VERNE, CA"
,5,"ISABELLA (SPITFIRE) GEORGE, DAYLIGHT CYCLE CO., DUMFRIES, VA"
,6,"JORDAN (SO SPECIAL) SMITH, TIME2SHINE, ASHBURN, VA"
,7,"HAILEY (THE TANK) SMITH, TIME2SHINE, ASHBURN, VA"
,8,"MALIA (BABY MANGLER) ALVAREZ, BLOOMINGTON, IL"
,,
11-12 Girls Cruiser    Total Riders = 12    Groups = 2,,
,1,"MIA CUSTER, BLACKCROWN BMX FACTORY, BRIDGETON, NJ"
,2,"AVERY (THE VOICE) JONES, JRBICYCLES.COM/SPEEDCO/AVIAN, CAPE CORAL, FL"
,3,"MARLIE (MAYHAM) RIETSCHEL, BMX COMPLIMENTS, JORDAN, MN"
,4,"CAMRYN (CRAZY LEGS) SEARFOSS, VELOCITY BIKE CO, NORWICH, NY"
,5,"KAYLIE CERASA, BLACK WIDOW BMX, BELVIDERE, IL"
,6,"OLIVE (OLI MAY) DIBERNARDO, TRIFECTA FACTORY, MONONGAHELA, PA"
,7,"CARIS MCCONNELL, BRENTWOOD, TN"
,8,"RYLEIGH (ROO) SCHRADER, POSITIVE IMPACT RACING, LEONARDTOWN, MD"
,,
13-14 Girls Cruiser    Total Riders = 11    Groups = 2,,
,1,"KYLEE NIEDERBERGER, FACTORY ANSWER, JARRETTSVILLE, MD"
,2,"SHELBY (SMILES) ELDER, FACTORY BOMBSHELL, WAXAHACHIE, TX"
,3,"SADIE HERRERA, ACWORTH, GA"
,4,"HANNAH (THE HURRICANE) LEAKEY, SUPERCROSS BMX, PHOENIX, AZ"
,5,"EMMA (BEAST MODE) CAVNER, ALBES PROMAX, ROCKFORD, MI"
,6,"KEIRA AMARIS, VELOCITY BIKE CO, MASTIC BEACH, NY"
,7,"EMMA MARTIN, ALLTOW WRECKING CREW/YESS, ELKRIDGE, MD"
,8,"GRACE LINFIELD, TEAM DARK HORSE, TOLEDO, OH"
,,
15-16 Girls Cruiser    Total Riders = 10    Groups = 2,,
,1,"MILA (THE PILOT) KELLY, REGGIE'S BIKE SHOP, LAPEER, MI"
,2,"PEYTON PULASKI, NATIONAL ALPHA, MERIDEN, CT"
,3,"KAYLYN (AWESOMESAUCE) MILLER, RIVAL RACING, EDGEWOOD, KY"
,4,"MADILYN (MAD RAYNE) MATIKO, HYPER BODYARMOR, FAIRLESS HILLS, PA"
,5,"RILEY PENNUCCI, ALBES, BLAIRSTOWN, NJ"
,6,"MARISSA (MOVIE STAR) LYMAN, PROPHECY, EAST GRANBY, CT"
,7,"ASHLEIGH MECH, POWERS BIKE SHOP, PASADENA, MD"
,8,"JACQUELINE (PICKLES) WOHRLE, HYPER BODYARMOR, LENSDALE, PA"
,,
17-20 Women Cruiser    Total Riders = 6    Groups = 1,,
,1,"HAYLEE (DOWNTOWN BROWN) BROWN, LITHIUM RACING, NEWPORT NEWS, VA"
,2,"GABBY CRANE, RIVAL RACING, TRENTON, OH"
,3,"JULIET CATANZARO, MILLER PLACE, NY"
,4,"MEA FLYNN, ALBES PROMAX, OXFORD, MI"
,5,"KAILANI SMITH, POWERS BIKE SHOP, GRAND RAPIDS, MI"
,,
21-30 Women Cruiser    Total Riders = 4    Groups = 1,,
,1,"JAMIE (SUNSHINE) REED, PROPHECY, HAMILTON, OH"
,2,"REBECCA (REBECCA) ROBISON, VELOCIOUS SPORT, GREENSBORO, NC"
,3,"EMILY (CHICKEN LITTLE) FISK, TNT BICYCLES FACTORY, MEBANE, NC"
,,
31-35 Women Cruiser    Total Riders = 4    Groups = 1,,
,1,"DANIELLE JOLICOEUR, YESS BMX, TORRINGTON, CT"
,2,"KATELIN QUICK, PAK BMX RACING, UNIONTOWN, OH"
,3,"BOBBI JO (MOMMIE) PATRICK, ALBES PROMAX, ERIE, PA"
,,
36-40 Women Cruiser    Total Riders = 8    Groups = 1,,
,1,"LISA (LIGHTING LEGGS) WEBB, NOT SURE, QUEENSTOWN, MD"
,2,"ASHLEIGH NYBORG, FUQUAY VARINA, NC"
,3,"BROOKE CAVNER, ALBES PROMAX, ROCKFORD, MI"
,4,"JENNA WILLIAMS, DIABLOS RACING/J&R BIKES, BURLINGTON, NJ"
,5,"VANESSA MCMILLEN, SERGEANTS, STOW, OH"
,6,"TARA (SAFETY PANTS) MURPHY, CROWNSVILLE, MD"
,7,"JENNIFER SWAP, REGGIE'S BIKE SHOP, MONROE, MI"
,,
41-45 Women Cruiser    Total Riders = 10    Groups = 2,,
,1,"HIDI CRAMER, BIKEMASTER, DES MOINES, WA"
,2,"SARAH (SPARKY) CUGLER, POSITIVE IMPACT RACING, BALTIMORE, MD"
,3,"ANGELA CONSTANTINO, VELOCITY BIKE CO, WHITSETT, NC"
,4,"CONNIE RAMSEY, PASADENA, MD"
,5,"SARAH (PURPLE HAZE) NEES, PAK BMX RACING, AKRON, OH"
,6,"ANDREA LIBICH, LAPORTE, IN"
,7,"TRACY LANSING, 1ST GEN BMX, CHERRY HILL, NJ"
,8,"JEN SHULTZABERGER, ROUND HILL, VA"
,,
51-55 Women Cruiser    Total Riders = 3    Groups = 1,,
,1,"CYNTHIA PAPPAS, MASSILLON, OH"
,2,"SUNNY HARMESON, PORTLAND, OR"
,3,"SUZANNE BLACK, ALPHA NATIONAL TEAM, CHANDLER, AZ"
,,
56 & Over Women Cruiser    Total Riders = 4    Groups = 1,,
,1,"MARJORIE (MAMA MARGE) KAMINSKI, CRANKOUT, EDEN, NY"
,2,"SUZANNE BORLAND, GILBERT, AZ"
,3,"LISA BELL, POWERS BIKE SHOP, WOODBRIDGE, VA"
,,
7 & Under Cruiser    Total Riders = 12    Groups = 2,,
,1,"CARSON  BURKHOLDER, CHIP N DALE NAT TEAM, NORWICH, NY"
,2,"BRYSON (PNUT BRUNS) BRUNS, ALPHA, WEST WARWICK, RI"
,3,"GAVIN (THE OUTLAW) TONN, WIKID RACING, ORIENT, OH"
,4,"JOSEPH (JD) LATAILLE, SSQUARED NE, LONGMEADOW, MA"
,5,"MICHAEL HUDZIK, BETHEL PARK, PA"
,6,"LEVI WEGLEY, TRIFECTA, BETHEL PARK, PA"
,7,"BRYCE (BEBO) LANG, TIME2SHINE, STAFFORD, VA"
,8,"VINCENT (MOTO HORNET) SEMPLICE, TRIFECTA RACING, CANONSBURG, PA"
,,
8 Cruiser    Total Riders = 15    Groups = 3,,
,1,"SAWYER (SOY SAUCE) DAUGHERTY, POWER FX SPEEDCO, FORT MYERS, FL"
,2,"DAVID (THE DESTROYER) CRICHTON, FRYE HIGH PERFORMANCE, WESTFIELD, MA"
,3,"JACKSON  SCOGGINS, MOM AND DAD, MEMPHIS, TN"
,4,"KENJI (SUPER K) GOTO, DADDY, TAMPA, FL"
,5,"WYATT CLARK, BETHEL PARK, PA"
,6,"PARKER (MIGHTY MOUSE) GRAVES, SSQUARED NATIONAL TEAM , HOLLYWOOD, MD"
,7,"KAI (THE HURRICANE) GRAY, WIKID RACING, TALLMADGE, OH"
,8,"BLAKE WINDOWS, CAMERON MILLS, NY"
,,
9 Cruiser    Total Riders = 16    Groups = 3,,
,1,"AIDEN TROMPETER, BLACK CROWN BMX BIKE SHOP, PEORIA, AZ"
,2,"MAX (MAD MAX) MEINEL, TNT BICYCLES NATIONAL TEAM, MONROE, CT"
,3,"CHANCE (THE WILDCARD) HALL, ALBES PROMAX, JAVA CENTER, NY"
,4,"ENZO (ENZO DANGER) HOFFMAN, TRIFECTA FACTORY RACING, PITTSBURGH, PA"
,5,"ELI (ROWDY) DOWDY, GET-A-GRIP, STAFFORD, VA"
,6,"CALEB MOLYNEAUX, SUPER DUPER, PITTSBURGH, PA"
,7,"TYLER (T-BONE) MARHAFER, LYPHE RACING, SCHENECTADY, NY"
,8,"JACKSON COX, MOM, EAGLE, CO"
,,
10 Cruiser    Total Riders = 18    Groups = 3,,
,1,"ACE LAACK, ALPHA FACTORY, ROCHESTER, MN"
,2,"WYATT HICKS, BLACKCROWN BMX FACTORY, KENNESAW, GA"
,3,"SEAN (YOU KNOW WHO) LEHEW, CHARLOTTE BOMBSHELL, PUNTA GORDA, FL"
,4,"JACOB (U KNOWN) GREENWELL, BLACKCROWN BMX FACTORY, MECHANICSVILLE, MD"
,5,"DECLAN (THE DIESEL) SIMS, FACTORY TRIFECTA RACING, TRAFFORD, PA"
,6,"PARKER MURRAY, TNT NATIONAL, MAYS LANDING, NJ"
,7,"JAXON COOPER, MUDSLINGER BIKE SHOP, WAPELLA, IL"
,8,"WYATT QUICK, PAK BMX RACING, AKRON, OH"
,,
11 Cruiser    Total Riders = 16    Groups = 3,,
,1,"JACOB (FROM STATE FARM) LANGE, TRIP9 RACING, FRIENDSHIP, WI"
,2,"BRADY WORD, ALPHA FACTORY, MODESTO, CA"
,3,"TAYLOR KOLL, HUTELIN RACIING, LAKE WALES, FL"
,4,"JAYDEN (LIGHTNING) LINVILLE, FACTORY BOMBSHELL, RIVERSIDE, OH"
,5,"MARSHALL (LITTLE BEAST) MILLER, RIVAL DEVO, EDGEWOOD, KY"
,6,"SAWYER SPENCE, SSQUARED NEW ENGLAND, SOUTHBURY, CT"
,7,"MIKEY (WILD MAN) TONKOVICH, LAMBO'S BIKE SHOP, AKRON, OH"
,8,"TY (NEEDLE THREADER) RAWLINGS, ALPHA NATIONAL TEAM, ALLISON PARK, PA"
,,
12 Cruiser    Total Riders = 9    Groups = 2,,
,1,"MASON HAYES, MONGOOSE BICYCLES, DENVER, NC"
,2,"GAVIN MENDITTO, TNT BICYCLES FACTORY, MARLTON, NJ"
,3,"DYLAN HOLTON, WILD NATIONAL BMX, ROCKFORD, MI"
,4,"BOBBY VRETTOS, CHIP N DALE BIKE SHOP, JOBSTOWN, NJ"
,5,"ELI (JUMPING ELI JONES) JONES, A&E RACING, SIDNEY, OH"
,6,"EVERETT STONE, RACER CONCEPTS DEV, STERLING, CT"
,7,"MAX (GAS IT) GUNNING, SNOWMASS, CO"
,8,"SHANE MAGHAN, CHIP-N-DALE, FARMINGDALE, NJ"
,,
13 Cruiser    Total Riders = 17    Groups = 3,,
,1,"PHILIP (PJ) RAMSEY, BLACK CROWN BIKE SHOP, PASADENA, MD"
,2,"RILEY ALLEN, FACTORY RIFT TANGENT, FORT MILL, SC"
,3,"LOGAN (CRUSH IT) CALDWELL, JRBICYCLES.COM/SPEEDCO/AVIAN, NORTH FT MYERS, FL"
,4,"AJ AMICO, TNT BICYCLES NATIONAL TEAM, WEBSTER, NY"
,5,"JASON LINVILLE, HYPER, RIVERSIDE, OH"
,6,"GAVIN (THE FUTURE) BRADLEY, FACTIMETOSHINEMONGOOSE, DAYTON, OH"
,7,"JACOB MEARES, BLACKCROWN BIKE SHOP, PITTSBURGH, PA"
,8,"BRAIDEN ZENTZ, CRANKOUT, MAYVILLE, NY"
,,
14 Cruiser    Total Riders = 14    Groups = 2,,
,1,"SEAN NICOSIA, FACTORY BOMBSHELL, HUNTERSVILLE, NC"
,2,"JOE (ALOHA-JOE) DRAWENEK, FACTORY SSQUARED, NEENAH, WI"
,3,"MAX MARSHALL, TOXIC RACING, WALLKILL, NY"
,4,"CADE MCCONNELL, BRENTWOOD, TN"
,5,"TYLER HOLTON, WILD NATIONAL BMX, ROCKFORD, MI"
,6,"TYE YOUNG, RIVAL RACING, DENVER, NC"
,7,"WAYNE (LIL WAYNE) HARDMAN, POWER FX SPEED CO, NORTH FORT MYERS, FL"
,8,"BRADY (BEETLE JUICE) JONES, JRBICYCLES.COM/SPEEDCO/AVIAN, CAPE CORAL, FL"
,,
15 Cruiser    Total Riders = 13    Groups = 2,,
,1,"AUSTIN (JUNG FU) JUNG, TRIP9 RACING, ARNOLD, MO"
,2,"TIMOTHY HAUSE, FACTORY RACER CONCEPTS, COLLINGSWOOD, NJ"
,3,"ANDREW HERRERA, ACWORTH, GA"
,4,"BRENDAN FELSER, CRANKOUT BMX, EDEN, NY"
,5,"JOHN (JOHNBOY) GRATTON, IRON CITY BIKED, PITTSBURGH, PA"
,6,"MIKE KUMER, BETHEL PARK, PA"
,7,"DYLAN MAGHAN, CHIP-N-DALE, FARMINGDALE, NJ"
,8,"RICHARD (RJ) ELY, FREEHOLD, NJ"
,,
16 Cruiser    Total Riders = 12    Groups = 2,,
,1,"ELIJAH HEANEY, FACTORY POWERS BMX, MURFREESBORO, TN"
,2,"DALLAS GARDNER, DAYLIGHT CYCLES, RICHMOND, VA"
,3,"EVAN MENDITTO, TNT BICYCLES FACTORY, MARLTON, NJ"
,4,"SPENCER (4 HIRE) FLEMING, SSQUARED NATIONAL TEAM , KINGSTON, GA"
,5,"ANDREW (THE ROCKET) KIRBY, BLACK WIDOW BMX, TULSA, OK"
,6,"ALEXANDER BOUER, FACTORY ECC RIFT, HOWELL, NJ"
,7,"GILBERTO (G-3) DELEON III, ROCKET RACING, GLEN ALLEN, VA"
,8,"BLAKE (MILF HUNTER) POWELL, DAYLIGHT CYCLES, VIRGINIA BEACH, VA"
,,
17-20 Cruiser    Total Riders = 8    Groups = 1,,
,1,"CAMERON (THE NEW GUY) BRAMER, SUPERCROSS BMX, SOUTH PARK, PA"
,2,"RYAN BRAMER, BLACKCROWN BMX FACTORY, SOUTH PARK, PA"
,3,"MICHAEL AMARIS, VELOCITY BIKE CO, MASTIC BCH, NY"
,4,"JOHN PAUL (JPEEZY) STEVENS, FACTORY TRIFECTA, CARNEGIE, PA"
,5,"NICHOLAS (SHOWTIME) SCHWARZ, RAZON CONTRACTING, LILLINGTON, NC"
,6,"CHARLIE MEYER, VELOCITY BIKE CO., HAMPTON, VA"
,7,"EASTON RUSS, RIDE LIKE A GIRL, EGG HARBOR TWP, NJ"
,,
21-25 Cruiser    Total Riders = 3    Groups = 1,,
,1,"JUAN (POTRO) GOMEZ, (MYSELF), QUEENS, NY"
,2,"ZACHARY HILL, PROPHECY, COLUMBUS, OH"
,3,"JACOB SMITH, CORTLAND, NY"
,,
26-30 Cruiser    Total Riders = 4    Groups = 1,,
,1,"ROBERT (RJ) VARGO, NOR CAL NEXT GENERATION, EXETER, PA"
,2,"LUKE FILIPPONE, WALLINGTON, NJ"
,3,"RICKY GREENE, LOTHIAN, MD"
,,
31-35 Cruiser    Total Riders = 4    Groups = 1,,
,1,"DUSTIN (DUSTMAN) JACOBS, FACTORY MANGLER, FREEPORT, IL"
,2,"JOSHUA PHILLIPS, YESS BMX, DAVENPORT, FL"
,3,"DEREK HOPKINS, REGGIE'S BIKE SHOP, TOLEDO, OH"
,,
36-40 Cruiser    Total Riders = 11    Groups = 2,,
